,LID,FORECLOSED
0,794000000000.0,False
1,277000000000.0,False
2,507000000000.0,False
3,493000000000.0,False
4,843000000000.0,False
5,241000000000.0,False
6,279000000000.0,False
7,228000000000.0,False
8,617000000000.0,False
9,375000000000.0,False
10,698000000000.0,False
11,461000000000.0,False
12,312000000000.0,False
13,820000000000.0,False
14,141000000000.0,False
15,456000000000.0,False
16,697000000000.0,False
17,682000000000.0,False
18,622000000000.0,False
19,997000000000.0,False
20,301000000000.0,False
21,660000000000.0,False
22,984000000000.0,False
23,817000000000.0,False
24,692000000000.0,False
25,422000000000.0,False
26,926000000000.0,False
27,346000000000.0,False
28,436000000000.0,False
29,518000000000.0,False
30,869000000000.0,False
31,146000000000.0,False
32,348000000000.0,False
33,298000000000.0,False
34,949000000000.0,False
35,385000000000.0,False
36,388000000000.0,False
37,455000000000.0,False
38,475000000000.0,False
39,273000000000.0,False
40,380000000000.0,False
41,675000000000.0,False
42,123000000000.0,False
43,492000000000.0,False
44,244000000000.0,False
45,913000000000.0,False
46,850000000000.0,False
47,297000000000.0,False
48,679000000000.0,False
49,483000000000.0,False
50,417000000000.0,False
51,849000000000.0,False
52,934000000000.0,False
53,651000000000.0,False
54,960000000000.0,False
55,689000000000.0,False
56,356000000000.0,False
57,437000000000.0,False
58,614000000000.0,False
59,512000000000.0,False
60,222000000000.0,False
61,333000000000.0,False
62,728000000000.0,False
63,255000000000.0,False
64,689000000000.0,False
65,586000000000.0,False
66,261000000000.0,False
67,158000000000.0,False
68,127000000000.0,False
69,388000000000.0,False
70,554000000000.0,False
71,638000000000.0,False
72,138000000000.0,False
73,524000000000.0,False
74,696000000000.0,False
75,860000000000.0,False
76,270000000000.0,False
77,693000000000.0,False
78,452000000000.0,False
79,254000000000.0,False
80,588000000000.0,False
81,476000000000.0,False
82,932000000000.0,False
83,768000000000.0,False
84,349000000000.0,False
85,442000000000.0,False
86,764000000000.0,False
87,329000000000.0,False
88,488000000000.0,False
89,377000000000.0,False
90,225000000000.0,False
91,478000000000.0,False
92,838000000000.0,False
93,638000000000.0,False
94,419000000000.0,False
95,427000000000.0,False
96,206000000000.0,False
97,390000000000.0,False
98,274000000000.0,False
99,157000000000.0,False
100,307000000000.0,False
101,204000000000.0,False
102,624000000000.0,False
103,971000000000.0,False
104,923000000000.0,False
105,472000000000.0,False
106,779000000000.0,False
107,964000000000.0,False
108,827000000000.0,False
109,491000000000.0,False
110,427000000000.0,False
